prompt,seed,case_number,source,coco_id
A red caboose with a man hanging off the back of it.,36209,10689,coco_30k_10k.csv,408818
Road signs giving directions and a car parked next to it,14783,10746,coco_30k_10k.csv,216006
A light that is above a white sign.,544,10766,coco_30k_10k.csv,208708
A train covered in graffiti sitting on top of train tracks.,67351,10801,coco_30k_10k.csv,456046
Two giraffe standing next to a tree covered hillside.,14392,10803,coco_30k_10k.csv,329494
A train traveling down train tracks next to trees.,50682,10806,coco_30k_10k.csv,2894
A cat is dressed like santa with a meme put together.,12135,10808,coco_30k_10k.csv,228746
The bird is perched on a dying flower outside.,68492,10810,coco_30k_10k.csv,139873
The airplane has landed behind a fence with barbed wire,87841,10850,coco_30k_10k.csv,490413
A train going down the train tracks in a building.,78161,10855,coco_30k_10k.csv,565331
A man that has a happy new  year hat on.,94830,10865,coco_30k_10k.csv,72238
A large group of birds in the water.,45910,10882,coco_30k_10k.csv,17260
A street sign hanging from the side of a metal pole.,95600,10887,coco_30k_10k.csv,276731
"A yellow and red van that reads "" Foot Stinks "" on it's right passenger door.",1377,10941,coco_30k_10k.csv,296825
A train sitting next to a loading platform with people standing on it.,7249,10949,coco_30k_10k.csv,49060
THERE IS A PERSON THAT IS SITTING IN THE BOAT ON THE WATER,69637,10959,coco_30k_10k.csv,484551
A group of three parked buses in front of a tall building.,88568,10961,coco_30k_10k.csv,409921
A couple of giraffe standing next to each other.,12195,10996,coco_30k_10k.csv,498960
a few rows of benches and a few people sitting on them,60352,11002,coco_30k_10k.csv,310524
a man wearing a top hat and a red tie,62616,11036,coco_30k_10k.csv,483667
A blue helicopter flying upside down in the sky.,54179,11037,coco_30k_10k.csv,450774
There is a stop sign covered in snow.,88885,11049,coco_30k_10k.csv,350214
A red stop sign and a person on a street.,47397,11052,coco_30k_10k.csv,328785
a child sitting on the ground with a flower,67788,11054,coco_30k_10k.csv,25990
A picnic table on a porch overlooking a body of water.,5357,11058,coco_30k_10k.csv,39399
a steam locomotive on a narrow gauge track in the snow,63831,11062,coco_30k_10k.csv,431523
A man walks across a street with a stop sign in the foreground.,76766,11065,coco_30k_10k.csv,418092
A woman with a red backpack is on a bus.,8379,11070,coco_30k_10k.csv,545594
a dog in a Santa hat on a pillow,41964,11076,coco_30k_10k.csv,261824
A large long bus on a city street.,6522,11088,coco_30k_10k.csv,56302
A herd of animals grazing on top of a grass field.,86150,11116,coco_30k_10k.csv,419201
A red fire hydrant sitting on the side of a road.,9907,11123,coco_30k_10k.csv,198943
a close up of a person hugging the head of a giraffe,21653,11134,coco_30k_10k.csv,470714
A train traveling down tracks near a rural area.,82430,11139,coco_30k_10k.csv,267628
A street with a graffiti post on the corner.,49525,11143,coco_30k_10k.csv,533311
A very tall giraffe walks through the trees.,6980,11161,coco_30k_10k.csv,398580
a couple of birds are perched on some branches,67569,11168,coco_30k_10k.csv,419854
A phone that is laying next to a stocking cap.,24269,11198,coco_30k_10k.csv,431199
a couple of large planes are flying through the air,8928,11202,coco_30k_10k.csv,359303
A train riding on a track near a forest and traffic signs.,92825,11204,coco_30k_10k.csv,6226
A small airplane flying over a field over crops.,94001,11205,coco_30k_10k.csv,145383
A yellow school bus parked  near a tree.,25074,11207,coco_30k_10k.csv,148319
An ugly looking street sign sitting on the corner of a street.,75150,11228,coco_30k_10k.csv,260595
A bus driving down the road near a church and traffic light.,95086,11237,coco_30k_10k.csv,40620
A white and red bus driving down a street.,52918,11250,coco_30k_10k.csv,292663
A man sitting in front of a laptop computer in an office.,88881,11253,coco_30k_10k.csv,13659
A crowd of people standing outside of a parked bus.,89820,11261,coco_30k_10k.csv,370602
A bus traveling past a traffic light next to a tree.,45159,11295,coco_30k_10k.csv,107840
a large bus is up by the side of a curb,8385,11326,coco_30k_10k.csv,393647
a school advertising on its store front window,88554,11330,coco_30k_10k.csv,406217
a bird is perched high up in a tree,94468,11349,coco_30k_10k.csv,285992
A bunch of sheep are standing in a field,62581,11366,coco_30k_10k.csv,442539
A passenger train passes a freight train traveling in opposite directions,77998,11385,coco_30k_10k.csv,296521
a metal bench resting on a sidewalk with cars on a street in the background,91900,11389,coco_30k_10k.csv,310072
A dead end street sign sitting next to abandoned furniture and garbage,16560,11394,coco_30k_10k.csv,150779
The sign is telling us where the train station is located.,95952,11420,coco_30k_10k.csv,333321
A train on the tracks out in the country,64841,11421,coco_30k_10k.csv,90155
A green traffic light above a street with a car on coming.,53107,11422,coco_30k_10k.csv,8179
a green and white bus is on the street,75022,11428,coco_30k_10k.csv,516143
A giraffe walking through tall grass between trees.,36761,11434,coco_30k_10k.csv,458467
A bus parked in a large parking lot,48535,11435,coco_30k_10k.csv,985
A picture of an outdoor area that looks great.,4056,11445,coco_30k_10k.csv,227033
A bird themed clock sitting inside of a green box.,18147,11447,coco_30k_10k.csv,386193
two public transit buses on a city street,22936,11462,coco_30k_10k.csv,58569
a yellow and black train is on some tracks,88883,11474,coco_30k_10k.csv,83602
A city bus moving along a road with many trees.,38617,11481,coco_30k_10k.csv,449403
The encompassing of an outside town in the picture.,81186,11483,coco_30k_10k.csv,389566
A red double decker bus driving down a street.,88858,11486,coco_30k_10k.csv,109939
A dog walking down the street with a bunch of birds flying around.,4544,11500,coco_30k_10k.csv,234785
a woman is on a poster hanging outside,41567,11507,coco_30k_10k.csv,381021
a building a sign some cars and traffic and street lights,8058,11526,coco_30k_10k.csv,462954
A bus driving down a street next to a white van.,9085,11537,coco_30k_10k.csv,516476
People at a bus stop waiting on a bus.,4347,11544,coco_30k_10k.csv,444493
A girl in a pink jacket on a bicycle passes a man in a blue cap on a bicycle.,87887,11552,coco_30k_10k.csv,483165
A young girl standing on a field with a flock of birds.,23280,11562,coco_30k_10k.csv,89154
a yellow train is at a train station,47447,11564,coco_30k_10k.csv,515360
A herd of sheep standing on top of dry grass in a pen.,52161,11566,coco_30k_10k.csv,50304
A group of people traveling down a cobble stone street.,66693,11574,coco_30k_10k.csv,238385
a street light hanging fron one of many wires connected to a power pole,70744,11578,coco_30k_10k.csv,381832
There is a train and bus in the cityscape.,63316,11607,coco_30k_10k.csv,446206
Street sign in front of a large building and clear skies.,3187,11612,coco_30k_10k.csv,552507
a couple of giraffes walk next to a stone wall,65206,11633,coco_30k_10k.csv,160447
The yellow fire hydrant is next to the bushes.,70229,11636,coco_30k_10k.csv,52005
a red and white fire hydrant is sitting by a curb,45440,11715,coco_30k_10k.csv,62459
A black cat sleeping in the sun on a bench,73350,11718,coco_30k_10k.csv,133707
Passengers gather to board oncoming black and red train.,95730,11728,coco_30k_10k.csv,538463
A blue and green bird perched on a branch,52529,11733,coco_30k_10k.csv,36004
A train parked next to some train tracks.,71519,11735,coco_30k_10k.csv,458109
A street crossing with a street sign for Mulholland and a no-U-turn sign.,48637,11750,coco_30k_10k.csv,287535
A bird sits on a rear view mirror,23039,11752,coco_30k_10k.csv,483149
a small statue is by a red sign,5739,11771,coco_30k_10k.csv,54264
An overhead view of traffic in a metropolitan area.,62258,11780,coco_30k_10k.csv,217886
A white and black bird captured in flight.,30872,11786,coco_30k_10k.csv,25360
Two trains sitting on parallel tracks waiting at a station.,84968,11793,coco_30k_10k.csv,130234
a bus that is parked next to a street,68314,11798,coco_30k_10k.csv,20273
A car driving down the road in a neighborhood.,19805,11809,coco_30k_10k.csv,499388
A person leading a herd of sheep with a dog.,3361,11812,coco_30k_10k.csv,237881
This train car features a variety of colors and carries passengers.,83856,11828,coco_30k_10k.csv,192496
a little giraffe sitting on the ground next to a somewhat bigger one,82192,11836,coco_30k_10k.csv,213399
A red double decker bus parks next to a large white awning.,99111,11839,coco_30k_10k.csv,557163
The grazing sheep don't notice the truck in the field.,82317,11841,coco_30k_10k.csv,428067
A group of people playing music in front of the capital.,16856,11851,coco_30k_10k.csv,475660
Tourists will find blue signs like this in Great Britain.,15342,11860,coco_30k_10k.csv,33554
two public transit buses on a city street,73414,11884,coco_30k_10k.csv,299044
A city at night with a well lit blue building.,38084,11898,coco_30k_10k.csv,128907
A woman is sitting on a bench in front of the water.,3722,11909,coco_30k_10k.csv,65170
Fire hydrant sitting in the middle of a hiking area on the side of a gorge.,71901,11913,coco_30k_10k.csv,569273
A group of birds are sitting at the edge of the river.,91897,11952,coco_30k_10k.csv,271032
Buses parked on a road outside a large bus station.,8198,11964,coco_30k_10k.csv,15517
"An urban street with a streetlight, one way sign, and people walking.",46417,11973,coco_30k_10k.csv,190923
A bus is traveling along rolling hills in the countryside.,42210,11974,coco_30k_10k.csv,89500
A stop sign with a street sign above it.,88874,11976,coco_30k_10k.csv,484029
A bird is flying away from the person,65167,11983,coco_30k_10k.csv,347953
A cat outside looking through a window.,63483,11996,coco_30k_10k.csv,277584
the driver of a double decked bus standing outside,83863,12000,coco_30k_10k.csv,531036
a field that ha a bunch of sheep in it,48755,12003,coco_30k_10k.csv,580746
a guy that is sitting on a park bench with a news paper,91074,12016,coco_30k_10k.csv,73773
Two women each feeding a giraffe at their enclosure.,16620,12021,coco_30k_10k.csv,100977
a pole that has a sign attached to it,47064,12026,coco_30k_10k.csv,476754
A fire hydrant is painted in a patriotic theme.,37431,12027,coco_30k_10k.csv,264940
A bench sitting in the middle of a lake.,85786,12037,coco_30k_10k.csv,442952
A couple of cops walking towards a double decker bus.,8919,12043,coco_30k_10k.csv,411047
there is a service truck that is behind a bus,85370,12057,coco_30k_10k.csv,187240
The front of a house is next to some trees.,70136,12059,coco_30k_10k.csv,22167
Small bird standing on rope near open ocean.,67294,12064,coco_30k_10k.csv,123932
this is a bus with an ad for a casino,54243,12085,coco_30k_10k.csv,274655
A baby giraffe is lying down in an enclosed grassy area while a larger giraffe is walking around.,96980,12095,coco_30k_10k.csv,150576
A cloudy day with a few airplanes waiting to take off.,55245,12101,coco_30k_10k.csv,72666
a couple of giraffes are standing in a pin,70269,12104,coco_30k_10k.csv,443334
"A black and white photo of a camera, on a bench.",60510,12108,coco_30k_10k.csv,81056
a man at a restaurant using his laptop,23690,12119,coco_30k_10k.csv,564336
A herd of sheep standing on top of a grass covered field.,72920,12121,coco_30k_10k.csv,29094
Debris on a corner outside of a building near a street sign.,10889,12128,coco_30k_10k.csv,297736
A pair of sheep looking eagerly at something through a fence.,29578,12129,coco_30k_10k.csv,474384
Giraffe relaxes in the shade in the park,20101,12131,coco_30k_10k.csv,431897
"A view of a sheep staring at the camera, its flock is behind it.",27875,12142,coco_30k_10k.csv,146099
there is a red stop sign on this street,39579,12145,coco_30k_10k.csv,309173
a cat laying down on top of a cardboard box,75971,12150,coco_30k_10k.csv,508952
A small dog sitting on top of a couch cushion.,31920,12156,coco_30k_10k.csv,538132
A bird stands on the ground among dried leaves.,80948,12168,coco_30k_10k.csv,453330
A man by a park bench is taking off his pants.,18993,12194,coco_30k_10k.csv,106096
"A red stop sign that reads "" Eating Animals "" below it.",74595,12217,coco_30k_10k.csv,214200
A bird with red eyes perched on top of a tree branch.,91350,12232,coco_30k_10k.csv,95022
A turquoise and white airplane and cars on the tarmac.,2999,12238,coco_30k_10k.csv,526711
A yellow taxi cab sitting below tall buildings.,86906,12239,coco_30k_10k.csv,322864
A large dog standing next to a man holding a child.,97946,12246,coco_30k_10k.csv,542939
A brown bear walking in white and black boots.,77214,12251,coco_30k_10k.csv,505371
A train making its way through a rail yard.,38820,12255,coco_30k_10k.csv,511153
Locomotive pulling cars on tracks in outdoor area.,75252,12260,coco_30k_10k.csv,144715
A fire hydrant sitting on the side of a road near a building.,76700,12272,coco_30k_10k.csv,348648
People sitting on a bench on a town's sidewalk.,28084,12275,coco_30k_10k.csv,480416
A rustic iron fence with bushes in front of it and a blue information sign.,33783,12304,coco_30k_10k.csv,393212
A pond with two ducks swimming on top of it.,26179,12330,coco_30k_10k.csv,396779
A blurry photo of a train riding along,77101,12342,coco_30k_10k.csv,273354
A giraffe eating grass from a stick near a bridge.,33618,12351,coco_30k_10k.csv,290828
A city street filled with lots of traffic and pedestrians.,13275,12362,coco_30k_10k.csv,220690
A couple of brown cows standing by the side of a road.,73086,12365,coco_30k_10k.csv,90738
A yellow and white bus driving down a street.,76001,12367,coco_30k_10k.csv,442582
A red fire hydrant sitting next to a wooden wall.,71190,12369,coco_30k_10k.csv,474711
a big bus that has some people by it,22565,12379,coco_30k_10k.csv,101053
Commuter rail trains on tracks in large urban area.,76388,12390,coco_30k_10k.csv,520503
Some very cute sheep by some very big trees.,42773,12398,coco_30k_10k.csv,91136
A truck stopped at an intersection where construction barriers are up.,80900,12403,coco_30k_10k.csv,178156
A train pulling into the station in a city.,77261,12410,coco_30k_10k.csv,155443
a man in a hat is in a crowd,42356,12413,coco_30k_10k.csv,106344
A fire hydrant on a sidewalk along a street.,18946,12415,coco_30k_10k.csv,159203
An all way stop sign on a sidewalk area.,54942,12424,coco_30k_10k.csv,431686
Two birds that are sitting in a marsh area.,5499,12425,coco_30k_10k.csv,4283
"The red, double decker bus is driving past other buses.",66783,12437,coco_30k_10k.csv,1584
A bench sitting in front of a group of vending machines.,57247,12442,coco_30k_10k.csv,165919
a public transit bus on a city street,11385,12443,coco_30k_10k.csv,241517
A train traveling down tracks through a field.,46869,12466,coco_30k_10k.csv,451046
A wood bench sitting in front of a tree.,4509,12488,coco_30k_10k.csv,211047
A big red bus parked on the street near a city,16731,12496,coco_30k_10k.csv,433963
a giraffe standing on a sandy beach in front of some rocks,17797,12510,coco_30k_10k.csv,267571
Cars parallel-parked on a street with a street-light in the background.,38830,12521,coco_30k_10k.csv,390684
"a man in a dress shirt, tie, and a trucker hat",91328,12538,coco_30k_10k.csv,514826
A private parking sign under a bridge with writing.,45159,12546,coco_30k_10k.csv,166524
The van drives down the street behind two people walking a dog.,9725,12547,coco_30k_10k.csv,405021
Group of young men standing in fenced area with skateboards.,27457,12554,coco_30k_10k.csv,451573
The head and neck of a giraffe with bare tree branches behind it.,26031,12569,coco_30k_10k.csv,328512
The lamb is nursing for milk from his mother.,30216,12574,coco_30k_10k.csv,100354
"A giraffe's head is pictured in this clear, colorful photo.",78607,12580,coco_30k_10k.csv,92109
Two giraffes stand and eat food out of a basket.,99054,12592,coco_30k_10k.csv,536615
Two giraffe standing together and looking towards an area of trees and bushes.,49728,12597,coco_30k_10k.csv,72632
a couple of birds swimming in a lake,59579,12600,coco_30k_10k.csv,64103
A mirror that is on a tiled wall.,11085,12606,coco_30k_10k.csv,230247
Aoold rustc sign is standing upright in some grass,69741,12607,coco_30k_10k.csv,37339
this is a group of giraffes walking together,4357,12628,coco_30k_10k.csv,127785
a sheep in a field with a dog and people watching,60988,12643,coco_30k_10k.csv,288685
A young woman pets and kisses a giraffe.,79795,12645,coco_30k_10k.csv,450081
some yellow signs attached to a building wall,61341,12674,coco_30k_10k.csv,304012
A black and white picture of a large house is shown.,13375,12691,coco_30k_10k.csv,261796
"Firetruck driving through city with lights on, fast.",39730,12698,coco_30k_10k.csv,475529
a wood bench is sitting near a pole,71154,12702,coco_30k_10k.csv,247609
A tall monstrous looking street sign sitting on the side of a road.,40240,12721,coco_30k_10k.csv,341801
An old brick building along side of a river,12107,12749,coco_30k_10k.csv,318415
A gray fire hydrant sitting next to a green hedge.,38881,12753,coco_30k_10k.csv,169849
A bird is sitting on a branch among unfocused trees,36175,12763,coco_30k_10k.csv,280480
A passenger train car that has been tagged with graffiti.,22042,12772,coco_30k_10k.csv,187514
A stop sign stands amongst a garden of cacti.,33746,12780,coco_30k_10k.csv,235984
a green sign on a pole with a street light,50953,12784,coco_30k_10k.csv,199257
a city bus drives down a street next to a building,84063,12788,coco_30k_10k.csv,282366
A bus sitting parked on the cement near a building.,20557,12795,coco_30k_10k.csv,150686
Picnic tables on a patio covered in snow.,94414,12803,coco_30k_10k.csv,413626
a large giraffe following her kid into a room,9549,12806,coco_30k_10k.csv,381173
A bus that is sitting in the street.,46989,12827,coco_30k_10k.csv,144992
Sign indicating danger of falling rocks with snow,33644,12836,coco_30k_10k.csv,489907
Small group of giraffes traveling through dense green brush,63253,12843,coco_30k_10k.csv,99913
A bird flying between to stop lights in the evening.,2435,12865,coco_30k_10k.csv,520232
A giraffe eating the bark off of a tree.,22416,12883,coco_30k_10k.csv,61720
A bird that is flying above the flowers.,43476,12897,coco_30k_10k.csv,210346
Three children sitting in a row reading books.,99336,12898,coco_30k_10k.csv,569314
a black bench is in front of a window,44391,12900,coco_30k_10k.csv,249443
Bullet holes in a stop sign in a rule area,62562,12907,coco_30k_10k.csv,94025
a bunch of cars parked on the side of a street,33748,12916,coco_30k_10k.csv,274931
The green traffic signals are near two parked vehicles.,64539,12939,coco_30k_10k.csv,555066
A street sign depicting the corner of TUDOR CITY PLACE and E 42 ST.,13094,12942,coco_30k_10k.csv,345711
A man pushing a wheelchair on the street.,56500,12951,coco_30k_10k.csv,286544
a couple of giraffes that are standing in a fence,26746,12961,coco_30k_10k.csv,12204
a yellow and black train sitting next to a platform,50807,12977,coco_30k_10k.csv,474974
a red sign is on a pole by a street,15221,12992,coco_30k_10k.csv,551811
a couple of people are in line at a vendor,40876,12994,coco_30k_10k.csv,241728
A bus and truck driving down a busy city street.,23367,12997,coco_30k_10k.csv,295340
A building in a grassy area with a sign indicating which way,33808,12999,coco_30k_10k.csv,237964
The green and beige double decker bus is parked beside a brick building.,9251,13006,coco_30k_10k.csv,504342
A white bird sitting on top of a wooden post.,76892,13009,coco_30k_10k.csv,356092
A street intersection in an Asian country during the day,22200,13013,coco_30k_10k.csv,157112
a man standint by a little fence for a bus stop,99740,13021,coco_30k_10k.csv,247714
An image of a girl running above an image of a bench.,58178,13030,coco_30k_10k.csv,467151
A traffic light on green with several traffic signs surrounding it,57954,13033,coco_30k_10k.csv,452308
A large jetliner flying through a cloudy blue sky.,19323,13036,coco_30k_10k.csv,344397
"A bench that has fallen apart, sitting in a forest.",69237,13045,coco_30k_10k.csv,420371
a woman is sitting with a statue on a bench,12360,13050,coco_30k_10k.csv,558064
A bunch of birds flying around a couple of waves near the ocean.,42691,13053,coco_30k_10k.csv,182441
Several cars travelling on a street with several traffic lights.,67948,13081,coco_30k_10k.csv,526392
A bulldog is unhappy about wearing a hat.,1293,13085,coco_30k_10k.csv,532381
There are several people walking in a street parade.,30602,13128,coco_30k_10k.csv,573349
A garbage truck parked next to a food vendor.,6706,13149,coco_30k_10k.csv,222137
A man sits on the couch with two cats on his lap.,64717,13155,coco_30k_10k.csv,413395
A photograph of a group of people at a party.,60501,13159,coco_30k_10k.csv,400048
An attractive young lady taking a selfy in front of a mirror.,41950,13160,coco_30k_10k.csv,345847
"Two men are riding an elephant, a driver and a passenger.",94493,13164,coco_30k_10k.csv,164594
A cat sleeps on a pile of discarded shoes.,33170,13181,coco_30k_10k.csv,185030
A herd of cattle grazing on a green grass covered field.,26959,13206,coco_30k_10k.csv,573896
A delivery truck parked in front of a store on a street.,37982,13210,coco_30k_10k.csv,270316
A number of unmanned small boats tied together.,97165,13220,coco_30k_10k.csv,400547
A room filled with clutter and a laptop computer.,19977,13228,coco_30k_10k.csv,57359
Two women stand under an umbrella at the beach.,53091,13229,coco_30k_10k.csv,75023
A cat sleeps on top of a computer mouse.,71981,13241,coco_30k_10k.csv,493295
Several people standing around a watering hole taking photos of elephants.,97092,13278,coco_30k_10k.csv,469777
Two little white boxes are on a mat.,39133,13282,coco_30k_10k.csv,568337
A woman holding a cigarette smiling at the camera on a sunny day.,18489,13287,coco_30k_10k.csv,377239
Clothes hanging on a rope over an unfinished patio.,95805,13308,coco_30k_10k.csv,408057
Longhorn cows stand or recline in a barn.,44926,13334,coco_30k_10k.csv,240301
Two elephants in a herd playing with each other.,55622,13343,coco_30k_10k.csv,237797
A herd of cattle standing on a pasture next to green crops.,87291,13348,coco_30k_10k.csv,488979
A group of brief cases are piled up on the sidewalks.,80880,13379,coco_30k_10k.csv,329041
A man tossing a frisbee under his leg.,72850,13398,coco_30k_10k.csv,301541
A little boy running towards a green Frisbee.,95524,13410,coco_30k_10k.csv,332869
A mother and it's calf standing in a field.,82579,13411,coco_30k_10k.csv,467776
A kid playing a game of frisbee with his dog in the snow.,27963,13420,coco_30k_10k.csv,457575
A girl with blue hair is taking a self portrait.,88406,13427,coco_30k_10k.csv,16598
A man wearing a parking meter repair jacket pushing a cart down a sidewalk.,38803,13438,coco_30k_10k.csv,292118
Two big trucks are parked in a parking lot.,63887,13455,coco_30k_10k.csv,126030
A child holding an umbrella in the rain.,65004,13460,coco_30k_10k.csv,85787
a single red white and yellow train engine on the tracks,88057,13472,coco_30k_10k.csv,401935
Two men sitting around a laptop looking at the screen.,84042,13477,coco_30k_10k.csv,467931
A young calf drinks from its mother's udders,90986,13482,coco_30k_10k.csv,133778
A man carrying apiece of luggage on a sidewalk.,12898,13524,coco_30k_10k.csv,170950
A woman sitting in a chair while holding a young child.,61808,13525,coco_30k_10k.csv,119134
Three people walking down a sidewalk while holding umbrellas.,14254,13561,coco_30k_10k.csv,131418
An elephant in the river holding something with its trunk,80810,13562,coco_30k_10k.csv,106896
A steel truss bridge carries a roadway over a rail yard.,75367,13565,coco_30k_10k.csv,14380
Line of black cows eating hay from a hay bale.,57761,13578,coco_30k_10k.csv,214832
A dog holds a frisbee with the side of its mouth,41636,13584,coco_30k_10k.csv,218561
A cruise ship is sailing close to the shore as two adults and a child walk through the sand.,34269,13592,coco_30k_10k.csv,64446
A black and white photo of a man running across the street.,51760,13601,coco_30k_10k.csv,380993
A truck parked by other vehicles covered in graffiti.,69388,13604,coco_30k_10k.csv,520043
A hand reaching out to a brown and white cow.,18071,13612,coco_30k_10k.csv,253362
A cow in front of another cow standing in a grassy field.,41989,13615,coco_30k_10k.csv,211618
A blue and yellow train progressing on a track.,87238,13620,coco_30k_10k.csv,158950
many cows in a field of green grass behind a fence,13233,13630,coco_30k_10k.csv,166868
